sensitivity_type,sensitivity_label,scope,individual,common_parameter_min,common_parameter_max,pearson_gdis_profile,spearman_gdis_profile,mean_abs_gdis_difference,primary_gdis_peak_parameter,sensitivity_gdis_peak_parameter,gdis_peak_shift,absolute_gdis_peak_shift,primary_abs_peak_landmark_error,sensitivity_abs_peak_landmark_error,primary_transition_energy_peak_parameter,sensitivity_transition_energy_peak_parameter,transition_energy_peak_shift,absolute_transition_energy_peak_shift,gdis_peak_within_0p05_of_primary
window,sensitivity_w500_s125,cf_extension,19159,0.0128644025,0.45618124000000004,0.986066785206494,0.97333614937839,0.00818571928028907,0.392594765,0.39411668499999997,0.0015219199999999544,0.0015219199999999544,0.04262038499999998,0.04109846500000003,0.0492892825,0.048294524,-0.000994758500000005,0.000994758500000005,True
window,sensitivity_w500_s125,cf_extension,19190,0.00989419175,0.45270729,0.961854849330035,0.9065597849565593,0.015734748553330513,0.4541094,0.37410789,-0.08000151,0.08000151,0.03838596,0.04161555,0.4541094,0.0402402805,-0.4138691195,0.4138691195,False
window,sensitivity_w500_s125,cf_extension,19193,0.0108174745,0.44048954500000004,0.8955916702726813,0.8790419046704747,0.014495937944252489,0.335981865,0.33635603999999997,0.0003741749999999766,0.0003741749999999766,0.05767799499999998,0.057303820000000005,0.3374431,0.33809287,0.000649769999999994,0.000649769999999994,True
window,sensitivity_w500_s125,cf_extension,19209,0.0110863435,0.367963315,0.8099288048409462,0.9608643978303653,0.039377497466544606,0.33153374,0.33050917999999996,-0.0010245600000000632,0.0010245600000000632,0.01929755999999999,0.020322120000000055,0.0226253125,0.31912663500000005,0.29650132250000005,0.29650132250000005,True
window,sensitivity_w500_s125,cm_extension,18489,0.0103664355,0.68375897,0.9966524286621823,0.9922046752748043,0.004533313753010107,0.73342248,0.325672535,-0.407749945,0.407749945,0.29013833,0.117611615,0.04513121,0.0421716615,-0.002959548499999999,0.002959548499999999,False
window,sensitivity_w500_s125,cm_extension,18499,0.011383207999999999,0.5476233349999999,0.881031145392125,0.9918306532904526,0.03113767933006617,0.37102573,0.373743865,0.0027181350000000104,0.0027181350000000104,0.023648840000000004,0.020930704999999994,0.0252816145,0.024525524,-0.0007560905000000007,0.0007560905000000007,True
window,sensitivity_w500_s125,cm_extension,18505,0.013701211500000001,0.7126617,0.9969453826437386,0.9791223539576632,0.0029341285316169803,0.3175279749999999,0.29845655,-0.01907142499999992,0.01907142499999992,0.24124697500000009,0.2603184,0.042544889,0.041062884,-0.0014820050000000015,0.0014820050000000015,True
window,sensitivity_w500_s125,cm_extension,18508,0.009018836749999998,0.82214742,0.9877708325473984,0.98272663562617,0.003890914949062533,0.33957605,0.34122039,0.0016443399999999664,0.0016443399999999664,0.3197993499999999,0.31815500999999996,0.337310255,0.33775941,0.0004491549999999789,0.0004491549999999789,True
window,sensitivity_w500_s125,cm_extension,18511,0.009131608749999999,0.612071,0.9965369171018148,0.970769452311237,0.00486280403378571,0.416084185,0.443582135,0.027497949999999993,0.027497949999999993,0.010782255000000018,0.016715694999999975,0.0281686935,0.02668736,-0.001481333500000001,0.001481333500000001,True
window,sensitivity_w500_s125,cm_extension,18517,0.011736649,0.7255042,0.9858406701556249,0.9919688955023281,0.006781859836911939,0.37059814,0.67863513,0.30803698999999996,0.30803698999999996,0.09539516999999997,0.21264181999999998,0.0320469414999999,0.0308467395,-0.0012002019999998968,0.0012002019999998968,False
window,sensitivity_w500_s125,cm_extension,18520,0.014662975,0.52140387,0.9934018466380973,0.9779810876974031,0.0062889337271535475,0.31272839,0.32013455,0.007406159999999995,0.007406159999999995,0.12384455,0.11643839,0.0134436814999999,0.014662975,0.0012192935000001001,0.0012192935000001001,True
window,sensitivity_w500_s125,cm_extension,18855,0.015474063,0.420748335,0.9600982111221604,0.8972752844045504,0.015371239679062565,0.420748335,0.33193055000000005,-0.08881778499999993,0.08881778499999993,0.019398764999999984,0.06941901999999994,0.0360830635,0.0356055705,-0.0004774929999999955,0.0004774929999999955,False
window,sensitivity_w500_s125,cm_extension,18858,0.0095748565,0.66732927,0.9821499822920131,0.9460379206067296,0.014245479008249372,0.3247392,0.326294285,0.0015550850000000116,0.0015550850000000116,0.16562752999999997,0.16407244499999996,0.0186478625,0.32343234,0.3047844775,0.3047844775,True
window,sensitivity_w500_s125,cm_extension,18870,0.0080951605,0.35943919,0.9937935323480235,0.9928075649210386,0.00490844001686413,0.35579095,0.35943919,0.003648240000000025,0.003648240000000025,0.0014569700000000019,0.002191270000000023,0.017458625,0.0158656715,-0.0015929534999999974,0.0015929534999999974,True
window,sensitivity_w500_s125,cm_extension,18907,0.01519234325,0.42500528,0.9414113607891618,0.9779941439063023,0.049768467887389124,0.33734034,0.33648895,-0.0008513900000000074,0.0008513900000000074,0.0658436,0.06669499000000001,0.33467607,0.33365071999999996,-0.001025350000000036,0.001025350000000036,True
window,sensitivity_w500_s125,cm_extension,18912,0.008955918,0.801898315,0.9878630187089286,0.962729899678395,0.007903308058788161,0.3319578749999999,0.331465125,-0.0004927499999998752,0.0004927499999998752,0.18251282500000005,0.18300557499999992,0.043407945,0.33303037,0.289622425,0.289622425,True
window,sensitivity_w500_s125,cm_extension,19093,0.013475829,0.8141687799999999,0.9929658328443554,0.9870582249315988,0.00483022653430776,0.33180962,0.330853925,-0.0009556950000000342,0.0009556950000000342,0.3018141649999999,0.30276985999999995,0.052113965,0.051181937,-0.0009320280000000014,0.0009320280000000014,True
window,sensitivity_w500_s125,cm_extension,19193,0.0108174745,0.43576476,0.9959745608258646,0.9130126242019871,0.0055468636543804595,0.34249922,0.34374795999999996,0.0012487399999999704,0.0012487399999999704,0.03166297499999998,0.03041423500000001,0.3401068499999999,0.340670625,0.0005637750000000996,0.0005637750000000996,True
window,sensitivity_w500_s125,cm_extension,19209,0.0110863435,0.49666047,0.8292720104451203,0.9352327557240915,0.0219140528799309,0.394765225,0.3880865,-0.0066787249999999965,0.0066787249999999965,0.0017501100000000824,0.004928614999999914,0.0226253125,0.32010216,0.29747684750000003,0.29747684750000003,True
window,sensitivity_w500_s125,shared_backbone,18489,0.0103664355,0.32402343499999997,0.9948875720164967,0.9957528920462726,0.0061601315038416595,0.0497425255,0.315747765,0.2660052395,0.2660052395,0.23809274449999998,0.027912495000000037,0.0432921105,0.0421716615,-0.0011204490000000025,0.0011204490000000025,False
window,sensitivity_w500_s125,shared_backbone,18499,0.011383207999999999,0.342079055,0.9022129956392055,0.9228547016752269,0.025606647701851677,0.329159395,0.32083854,-0.008320855000000016,0.008320855000000016,0.09741406500000002,0.08909321,0.026195626,0.023608687,-0.002586939,0.002586939,True
window,sensitivity_w500_s125,shared_backbone,18505,0.013701211500000001,0.33583463,0.9958910192038485,0.9986075937214995,0.004791178208977753,0.3089079,0.30019913,-0.008708770000000032,0.008708770000000032,0.04000730000000002,0.03129852999999999,0.042544889,0.042544889,0.0,0.0,True
window,sensitivity_w500_s125,shared_backbone,18508,0.009018836749999998,0.33677691,0.9942057507937528,0.9829800796812748,0.0052455345021900895,0.3386987,0.33677691,-0.0019217900000000343,0.0019217900000000343,0.013193115000000033,0.011271324999999999,0.3386987,0.33677691,-0.0019217900000000343,0.0019217900000000343,True
window,sensitivity_w500_s125,shared_backbone,18511,0.009131608749999999,0.34631432,0.9545935839871279,0.9794848557576921,0.010975004474286806,0.23301977,0.224673235,-0.008346534999999988,0.008346534999999988,0.03547976,0.04382629499999999,0.027544216,0.02668736,-0.0008568559999999996,0.0008568559999999996,True
window,sensitivity_w500_s125,shared_backbone,18517,0.011736649,0.33830568,0.952576104173586,0.9828295492727884,0.015440794694686604,0.32965499,0.32859358,-0.0010614099999999849,0.0010614099999999849,0.05109284999999997,0.05003143999999998,0.0320469414999999,0.0308467395,-0.0012002019999998968,0.0012002019999998968,True
window,sensitivity_w500_s125,shared_backbone,18520,0.014662975,0.33924075,0.9825195462986203,0.9778305572889167,0.01274202008065701,0.31473276,0.32156199,0.0068292300000000195,0.0068292300000000195,0.014798340000000021,0.02162757000000004,0.0134436814999999,0.014662975,0.0012192935000001001,0.0012192935000001001,True
