config,scope,individual,window_size,step_size,n_cells,n_windows,n_covered_unique_cells,cell_coverage_fraction,parameter_min,parameter_max,strict_increment_fraction,tie_fraction,parameters_non_decreasing,parameters_strictly_increasing,all_expected_states_present,trajectory_shape,trajectory_values_finite
sensitivity_w500_s125,shared_backbone,19093,500,125,12915,100,12875,0.9969028261711188,0.013475829,0.34232361499999997,1.0,0.0,True,True,True,100x500x50,True
sensitivity_w500_s125,shared_backbone,19108,500,125,3594,25,3500,0.9738452977184195,0.0146285165,0.277475635,1.0,0.0,True,True,True,25x500x50,True
sensitivity_w500_s125,shared_backbone,19127,500,125,6183,46,6125,0.9906194404010998,0.0109060585,0.36243774,1.0,0.0,True,True,True,46x500x50,True
sensitivity_w500_s125,shared_backbone,19159,500,125,5944,44,5875,0.9883916554508748,0.0128644025,0.39586788,1.0,0.0,True,True,True,44x500x50,True
sensitivity_w500_s125,shared_backbone,19190,500,125,8744,66,8625,0.9863906678865508,0.00989419175,0.35799055999999996,1.0,0.0,True,True,True,66x500x50,True
sensitivity_w500_s125,shared_backbone,19193,500,125,5925,44,5875,0.9915611814345991,0.0108174745,0.349963905,1.0,0.0,True,True,True,44x500x50,True
sensitivity_w500_s125,shared_backbone,19209,500,125,8892,68,8875,0.9980881691408007,0.0110863435,0.36713688,1.0,0.0,True,True,True,68x500x50,True
sensitivity_w500_s125,cm_extension,18489,500,125,6857,51,6750,0.984395508239755,0.0103664355,0.68375897,1.0,0.0,True,True,True,51x500x50,True
sensitivity_w500_s125,cm_extension,18499,500,125,13616,105,13500,0.9914806110458284,0.011383207999999999,0.5476233349999999,1.0,0.0,True,True,True,105x500x50,True
sensitivity_w500_s125,cm_extension,18505,500,125,7488,56,7375,0.984909188034188,0.013701211500000001,0.7126617,1.0,0.0,True,True,True,56x500x50,True
sensitivity_w500_s125,cm_extension,18508,500,125,9279,71,9250,0.9968746632180192,0.009018836749999998,0.82214742,1.0,0.0,True,True,True,71x500x50,True
sensitivity_w500_s125,cm_extension,18511,500,125,12139,94,12125,0.9988466924787874,0.009131608749999999,0.612071,1.0,0.0,True,True,True,94x500x50,True
sensitivity_w500_s125,cm_extension,18517,500,125,9530,73,9500,0.9968520461699895,0.011736649,0.7255042,1.0,0.0,True,True,True,73x500x50,True
sensitivity_w500_s125,cm_extension,18520,500,125,8402,64,8375,0.9967864794096644,0.014662975,0.52140387,1.0,0.0,True,True,True,64x500x50,True
