scope,individual,state,state_median_pseudotime,nearest_window_index,nearest_window_parameter,absolute_parameter_difference,nearest_window_median_day,nearest_window_dominant_state
cf_extension,18511,CF,0.3733011149999999,116,0.37416211,0.0008609950000000866,7.0,CF
cf_extension,18517,IPSC,0.02684189,17,0.026823638,1.825199999999985e-05,1.0,MES
cf_extension,18517,MES,0.033099593,24,0.0330389495,6.064349999999885e-05,1.0,MES
cf_extension,18517,CMES,0.27856214,51,0.27981995000000004,0.0012578100000000259,5.0,CMES
cf_extension,18517,PROG,0.32714881,61,0.326279325,0.0008694850000000032,5.0,PROG
cf_extension,18517,CF,0.321171025,59,0.32110389,6.713499999999595e-05,5.0,PROG
cf_extension,18520,IPSC,0.0333570725,11,0.0324748025,0.0008822700000000044,1.0,MES
cf_extension,18520,MES,0.0569987335,21,0.0581018905,0.0011031570000000004,1.0,MES
cf_extension,18520,CMES,0.29993442,59,0.300032765,9.834499999999968e-05,7.0,PROG
cf_extension,18520,PROG,0.29552611,58,0.297199415,0.0016733050000000138,7.0,PROG
cf_extension,18520,CF,0.39014167,89,0.390737695,0.000596025,11.0,CF
cf_extension,18855,IPSC,0.030864147,9,0.0308786825,1.4535499999999285e-05,1.0,MES
cf_extension,18855,MES,0.0412130074999999,15,0.041599739999999996,0.0003867325000000976,1.0,MES
cf_extension,18855,CMES,0.3059474,35,0.30773882500000005,0.0017914250000000687,7.0,CF
cf_extension,18855,PROG,0.30925772,35,0.30773882500000005,0.0015188949999999646,7.0,CF
cf_extension,18855,CF,0.4039907,62,0.40466697500000004,0.0006762750000000595,11.0,CF
cf_extension,18907,IPSC,0.03573944,10,0.0361600985,0.00042065850000000404,0.0,IPSC
cf_extension,18907,MES,0.031076798,8,0.031848568,0.0007717700000000015,1.0,MES
cf_extension,18907,CMES,0.30431904,35,0.30302857,0.001290469999999988,3.0,CMES
cf_extension,18907,PROG,0.313769875,39,0.31456028,0.0007904050000000495,3.0,CMES
cf_extension,18907,CF,0.3817951,64,0.380275605,0.0015194949999999818,11.0,CF
cf_extension,18912,IPSC,0.026255557,21,0.026362833000000002,0.00010727600000000337,0.0,IPSC
