config,scope,individual,npz_path,window_metadata_path,n_windows,window_size,n_dimensions
sensitivity_w300_s75,cm_extension,18907,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18907.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18907_windows.csv,74,300,50
sensitivity_w300_s75,cm_extension,18912,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18912.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18912_windows.csv,171,300,50
sensitivity_w300_s75,cm_extension,19093,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_19093.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_19093_windows.csv,203,300,50
sensitivity_w300_s75,cm_extension,19108,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_19108.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_19108_windows.csv,47,300,50
sensitivity_w300_s75,cm_extension,19193,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_19193.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_19193_windows.csv,88,300,50
sensitivity_w300_s75,cm_extension,19209,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_19209.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_19209_windows.csv,127,300,50
sensitivity_w300_s75,cf_extension,18489,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18489.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18489_windows.csv,84,300,50
sensitivity_w300_s75,cf_extension,18508,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18508.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18508_windows.csv,163,300,50
sensitivity_w300_s75,cf_extension,18511,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18511.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18511_windows.csv,169,300,50
sensitivity_w300_s75,cf_extension,18517,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18517.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18517_windows.csv,93,300,50
