scope,individual,transition_id,destination_state,frozen_destination_landmark,n_windows,parameter_min,parameter_max,gdis_min,gdis_mean,gdis_max,critical_value_source,all_primary_outputs_finite,gdis_bounded_0_1,gdis_peak_window_index,gdis_peak_parameter,gdis_peak_value,gdis_peak_median_day,gdis_peak_dominant_state,sustained_peak_window_index,sustained_peak_parameter,sustained_peak_value,sustained_peak_median_day,sustained_peak_dominant_state,transition_instability_peak_window_index,transition_instability_peak_parameter,transition_instability_peak_value,transition_instability_peak_median_day,transition_instability_peak_dominant_state,transition_energy_peak_window_index,transition_energy_peak_parameter,transition_energy_peak_value,transition_energy_peak_median_day,transition_energy_peak_dominant_state,landmark_nearest_window_index,landmark_nearest_window_parameter,landmark_nearest_parameter_error,landmark_window_median_day,landmark_window_dominant_state,gdis_at_landmark_window,potential_at_landmark_window,sustained_instability_at_landmark_window,transition_instability_at_landmark_window,transition_energy_at_landmark_window,transition_base_at_landmark_window,core_at_landmark_window,gdis_peak_minus_landmark,gdis_absolute_peak_landmark_error,sustained_peak_minus_landmark,sustained_absolute_peak_landmark_error,transition_instability_peak_minus_landmark,transition_instability_absolute_peak_landmark_error,transition_energy_peak_minus_landmark,transition_energy_absolute_peak_landmark_error
cm_extension,18520,T3_CM,CM,0.43657294,81,0.013443681499999999,0.5861136,0.10433533550722732,0.6943933890340516,0.81881695695564,data_driven_transition_energy_peak,True,True,62,0.31272839,0.81881695695564,5.0,CMES,61,0.309707435,0.8191061174379164,5.0,CMES,0,0.013443681499999999,0.182749630951376,1.0,MES,0,0.013443681499999999,1.0,1.0,MES,78,0.42608007999999997,0.010492860000000048,11.0,CM,0.8151735949555203,1.6927836598334247,0.8159934013580623,7.1192582547904666e-12,0.0,3.955143474883593e-11,0.9474440342047135,-0.12384455,0.12384455,-0.12686550500000005,0.12686550500000005,-0.42312925850000005,0.42312925850000005,-0.42312925850000005,0.42312925850000005
cm_extension,18855,T3_CM,CM,0.40134957,44,0.01420406175,0.420748335,0.23443645235950913,0.6219959004844832,0.8157666662802338,data_driven_transition_energy_peak,True,True,43,0.420748335,0.8157666662802338,11.0,CM,43,0.420748335,0.8158663486449131,11.0,CM,11,0.034213902500000004,0.1476660426052542,1.0,MES,12,0.0360830635,0.8903279135155133,1.0,MES,42,0.40127560500000004,7.396499999995365e-05,11.0,CM,0.8113950039800729,1.6674996909608495,0.8112816696141993,5.6592248276604835e-16,0.05808471086884659,3.1440137931447132e-15,0.8791990537382478,0.019398764999999984,0.019398764999999984,0.019398764999999984,0.019398764999999984,-0.3671356675,0.3671356675,-0.3652665065,0.3652665065
cm_extension,18858,T3_CM,CM,0.49036673,118,0.008778636,0.679256945,0.10268792752853236,0.6714828113686213,0.8269235789953313,data_driven_transition_energy_peak,True,True,96,0.3247392,0.8269235789953313,7.0,PROG,107,0.37424171,0.8221198585482837,7.0,CM,13,0.019829563,0.16044694161497167,1.0,MES,11,0.0186478625,0.9387861785161968,1.0,MES,112,0.48423412499999996,0.006132605000000013,11.0,CM,0.8170920891508473,1.6957304988727795,0.8165348410281561,0.0,0.004429346518195862,0.0,0.9252716629790011,-0.16562752999999997,0.16562752999999997,-0.11612501999999997,0.11612501999999997,-0.470537167,0.470537167,-0.47171886749999997,0.47171886749999997
cm_extension,18870,T3_CM,CM,0.35724792,113,0.0072889432,0.37247054,0.03155853340730366,0.7082797185938363,0.8145765763471854,data_driven_transition_energy_peak,True,True,110,0.35579095,0.8145765763471854,15.0,PROG,110,0.35579095,0.8147916363115495,15.0,PROG,10,0.017458625,0.15666654540078545,0.0,IPSC,10,0.017458625,0.8866801017237094,0.0,IPSC,110,0.35579095,0.0014569700000000019,15.0,PROG,0.8145765763471854,1.6862737974795463,0.8147916363115495,0.0,0.049346550410590995,0.0,0.9339081882077855,-0.0014569700000000019,0.0014569700000000019,-0.0014569700000000019,0.0014569700000000019,-0.339789295,0.339789295,-0.339789295,0.339789295
cm_extension,18907,T3_CM,CM,0.40318394,54,0.014147929,0.42500528000000004,0.11016300397877132,0.6682810364297469,0.8389826353855601,data_driven_transition_energy_peak,True,True,47,0.33734034,0.8389826353855601,5.0,CMES,49,0.35123256,0.816167449956005,5.0,PROG,46,0.33467607,0.16173858998927299,3.0,CMES,46,0.33467607,0.9393708770911742,3.0,CMES,52,0.397222,0.005961939999999999,11.0,CM,0.8110755115744526,1.669701739802335,0.8116967793812644,0.0,0.0,0.0,0.9088004280632307,-0.0658436,0.0658436,-0.05195137999999999,0.05195137999999999,-0.06850787000000003,0.06850787000000003,-0.06850787000000003,0.06850787000000003
cm_extension,18912,T3_CM,CM,0.5144707,128,0.0080636965,0.8515687000000001,0.0,0.7029051070947743,0.8173193450025041,data_driven_transition_energy_peak,True,True,91,0.33195787499999996,0.8173193450025041,3.0,CMES,92,0.33330482,0.814229515991783,3.0,CMES,36,0.043407945,0.17102252397747447,0.0,IPSC,36,0.043407945,0.9867162814716685,0.0,IPSC,115,0.5105461,0.003924599999999945,11.0,CM,0.8095337999818104,1.6564715578274323,0.8091889405040761,0.0,0.0016398438211548396,0.0,0.877097205547304,-0.182512825,0.182512825,-0.18116587999999995,0.18116587999999995,-0.47106275499999994,0.47106275499999994,-0.47106275499999994,0.47106275499999994
cm_extension,19093,T3_CM,CM,0.6336237849999999,151,0.012019524,0.8289179200000001,0.07186883269710827,0.6808717057522892,0.8168998240333961,data_driven_transition_energy_peak,True,True,120,0.33180962,0.8168998240333961,5.0,PROG,121,0.332999875,0.816191064394127,5.0,PROG,51,0.050616259,0.14743764598624504,1.0,MES,53,0.052113965,0.911339894781337,1.0,MES,140,0.6359779999999999,0.002354214999999993,7.0,CM,0.7089383118731385,1.218506319146653,0.7043285239238545,0.0,0.003107502661751276,0.0,0.37461960064110555,-0.3018141649999999,0.3018141649999999,-0.30062390999999994,0.30062390999999994,-0.5830075259999999,0.5830075259999999,-0.58150982,0.58150982
cm_extension,19193,T3_CM,CM,0.374162195,65,0.009603269,0.43576476,0.0,0.6794920707176968,0.8341846853394459,data_driven_transition_energy_peak,True,True,55,0.34249922,0.8341846853394459,5.0,PROG,60,0.36747991,0.8197038303822262,11.0,CM,54,0.34010684999999996,0.1688163991870558,3.0,CMES,54,0.34010684999999996,1.0,3.0,CMES,61,0.37453161,0.00036941500000003957,11.0,CM,0.8217117821528815,1.7246407788336175,0.8195233131536592,0.012487110542213293,0.11821004820284975,0.06937283634562941,0.9272728363237587,-0.03166297499999998,0.03166297499999998,-0.0066822849999999545,0.0066822849999999545,-0.034055345000000015,0.034055345000000015,-0.034055345000000015,0.034055345000000015
cm_extension,19209,T3_CM,CM,0.3930151149999999,94,0.010101056,0.49666047,0.1414939446552325,0.697771032334668,0.8199748043340536,data_driven_transition_energy_peak,True,True,91,0.394765225,0.8199748043340536,15.0,CM,61,0.28887139500000003,0.8270797789166668,7.0,PROG,8,0.0226253125,0.1695491880185217,0.0,IPSC,8,0.0226253125,1.0,0.0,IPSC,91,0.394765225,0.0017501100000000824,15.0,CM,0.8199748043340536,1.6911555129075488,0.8156935675609492,1.521506819265247e-16,0.0,8.452815662584705e-16,0.9299241358036783,0.0017501100000000824,0.0017501100000000824,-0.10414371999999988,0.10414371999999988,-0.3703898024999999,0.3703898024999999,-0.3703898024999999,0.3703898024999999
shared_backbone,18489,T2,CMES,0.28783527,47,0.0093122065,0.32634978000000003,0.0,0.7065113490344844,0.818124837705791,data_driven_transition_energy_peak,True,True,28,0.0497425255,0.818124837705791,0.0,IPSC,46,0.32634978000000003,0.8128543292848323,3.0,CMES,26,0.04513121,0.17106216417763165,0.0,IPSC,25,0.0432921105,0.9713689292262901,0.0,IPSC,41,0.290208385,0.0023731150000000367,3.0,CMES,0.7948526398703515,1.59968422254187,0.798039717569931,0.0,0.14515027474931153,0.0,0.7923886711718027,-0.23809274449999998,0.23809274449999998,0.03851451000000006,0.03851451000000006,-0.24270405999999997,0.24270405999999997,-0.24454315949999997,0.24454315949999997
