branch,lineage,differentiation,transition_weight,parameter,gdis,potential
0,SC-EC,1,0.18,0.734283196239718,0.8105913263458588,1.6678926837963817
0,SC-EC,1,0.18,0.7648354876615746,0.8103178174812306,1.6643860301303122
0,SC-EC,1,0.18,0.7934048178613395,0.8092073942461233,1.6582164377833486
0,SC-EC,1,0.18,0.8227820211515864,0.8081806102153328,1.651273993129435
0,SC-EC,1,0.18,0.8550969447708578,0.8084467792568836,1.651625767124353
0,SC-EC,1,0.18,0.8909371327849589,0.8109411881099959,1.6647702490451413
0,SC-EC,1,0.18,0.921783196239718,0.8165991235138897,1.6968925612256196
0,SC-EC,1,0.25,0.0240825688073394,0.6559031041264028,1.0224716250790562
0,SC-EC,1,0.25,0.03583715596330275,0.621859943917372,1.0297241536401571
0,SC-EC,1,0.25,0.04705930537352555,0.5828824890232696,0.916016888128503
0,SC-EC,1,0.25,0.057298492791612,0.5485406034458339,0.779813346706045
0,SC-EC,1,0.25,0.06950360419397114,0.5284041511868025,0.68687756406048
0,SC-EC,1,0.25,0.082036369593709,0.5373275170195295,0.747036713648536
0,SC-EC,1,0.25,0.10087647444298814,0.5967201860865563,0.8824950751547818
0,SC-EC,1,0.25,0.120740498034076,0.6777376514672515,1.1051598614433122
0,SC-EC,1,0.25,0.13765563564875483,0.7576385377279719,1.4529809849228235
0,SC-EC,1,0.25,0.15510321100917424,0.8160106207438617,2.0292469151408263
0,SC-EC,1,0.25,0.17132208387942333,0.8493511527931341,1.8445850116748888
0,SC-EC,1,0.25,0.19237385321100914,0.8580553458330489,1.8508558905480452
0,SC-EC,1,0.25,0.2093709043250327,0.8493155291098604,1.832322818417997
0,SC-EC,1,0.25,0.2279652686762778,0.8310857558920153,1.7789322169250021
0,SC-EC,1,0.25,0.24569954128440363,0.8158413768197199,1.7142583905538604
0,SC-EC,1,0.25,0.26413007863695936,0.7867782244271995,1.6070366829088776
0,SC-EC,1,0.25,0.2838302752293578,0.7501848189052828,1.4037992549656622
0,SC-EC,1,0.25,0.30520969855832236,0.712776577341111,1.2285996160682495
0,SC-EC,1,0.25,0.32527850589777185,0.6827609088030112,1.1236322443678233
0,SC-EC,1,0.25,0.3447329619921362,0.6705780358107624,1.0904729332516148
0,SC-EC,1,0.25,0.366603866317169,0.6822570563958577,1.1234048609204448
0,SC-EC,1,0.25,0.38544397116644824,0.7095939560455691,1.2207235305156199
0,SC-EC,1,0.25,0.40956749672346,0.7424986028344501,1.3827007352844702
0,SC-EC,1,0.25,0.43332241153342066,0.772522211135646,1.5386307664113341
0,SC-EC,1,0.25,0.4536369593709043,0.7939381504218954,1.592273031405211
0,SC-EC,1,0.25,0.47620412844036697,0.8043616811078521,1.61860957365362
0,SC-EC,1,0.25,0.49684633027522934,0.8055633880667566,1.630484485557359
0,SC-EC,1,0.25,0.5262925969447709,0.8033599656224991,1.6273756368221013
0,SC-EC,1,0.25,0.5550822561692127,0.8022037240962661,1.6160383514176913
0,SC-EC,1,0.25,0.5893801410105758,0.8017408372361668,1.6107832927137817
0,SC-EC,1,0.25,0.6174720916568743,0.8024937918580356,1.6177347188881464
0,SC-EC,1,0.25,0.6449764982373678,0.804601621508467,1.6321054094470784
0,SC-EC,1,0.25,0.6722238542890717,0.8073120166491108,1.649024873404888
0,SC-EC,1,0.25,0.7029230317273796,0.809568097260956,1.6622734065892517
0,SC-EC,1,0.25,0.734283196239718,0.8105913263458573,1.6678926837963817
0,SC-EC,1,0.25,0.7648354876615746,0.81031781748123,1.6643860301303122
0,SC-EC,1,0.25,0.7934048178613395,0.8092073942461271,1.6582164377833486
0,SC-EC,1,0.25,0.8227820211515864,0.8081806102153413,1.651273993129435
0,SC-EC,1,0.25,0.8550969447708578,0.8084467792568948,1.6516257671244396
0,SC-EC,1,0.25,0.8909371327849589,0.8109411881100064,1.6647702490452303
0,SC-EC,1,0.25,0.921783196239718,0.8165991235138941,1.6968925612256196
0,SC-EC,1,0.5,0.0240825688073394,0.6720658531971001,1.0695246970681571
0,SC-EC,1,0.5,0.03583715596330275,0.6323051313745617,1.0604059722965893
0,SC-EC,1,0.5,0.04705930537352555,0.5999071132175924,0.9556695041935215
0,SC-EC,1,0.5,0.057298492791612,0.5795780094925611,0.846488607500999
0,SC-EC,1,0.5,0.06950360419397114,0.5760240309658362,0.7913371134868122
0,SC-EC,1,0.5,0.082036369593709,0.5971447375640755,0.8921033667967834
0,SC-EC,1,0.5,0.10087647444298814,0.6588549808758594,1.0625839233070955
0,SC-EC,1,0.5,0.120740498034076,0.7343114881036901,1.3097315736948132
0,SC-EC,1,0.5,0.13765563564875483,0.8032255725889131,1.6612662259749855
0,SC-EC,1,0.5,0.15510321100917424,0.8495344512589407,2.2217652836128137
0,SC-EC,1,0.5,0.17132208387942333,0.872899261507108,2.009189245937822
0,SC-EC,1,0.5,0.19237385321100914,0.8753320719655433,1.9832386304650398
0,SC-EC,1,0.5,0.2093709043250327,0.8638734552373009,1.935836711199877
0,SC-EC,1,0.5,0.2279652686762778,0.8442007852551657,1.8565504162033388
0,SC-EC,1,0.5,0.24569954128440363,0.8256455002692216,1.7691119769640014
0,SC-EC,1,0.5,0.26413007863695936,0.7940489119147636,1.6450131089971658
0,SC-EC,1,0.5,0.2838302752293578,0.7550977258837515,1.4258313485630303
0,SC-EC,1,0.5,0.30520969855832236,0.71569185788776,1.2387054260935253
0,SC-EC,1,0.5,0.32527850589777185,0.684165450832495,1.1264577457925453
0,SC-EC,1,0.5,0.3447329619921362,0.6709339011259738,1.0904729332516148
0,SC-EC,1,0.5,0.366603866317169,0.6821044519549964,1.1234048609204448
0,SC-EC,1,0.5,0.38544397116644824,0.7093852042968818,1.2207235305156199
0,SC-EC,1,0.5,0.40956749672346,0.742420048901019,1.3827184716134235
0,SC-EC,1,0.5,0.43332241153342066,0.7725276885061887,1.5386816715719998
0,SC-EC,1,0.5,0.4536369593709043,0.7939432917945894,1.592304969498248
0,SC-EC,1,0.5,0.47620412844036697,0.8043655069118617,1.6186133693008964
0,SC-EC,1,0.5,0.49684633027522934,0.8055649187312459,1.630484485557359
0,SC-EC,1,0.5,0.5262925969447709,0.8033594930068816,1.6273756368221013
0,SC-EC,1,0.5,0.5550822561692127,0.8022031789472623,1.6160383514176913
0,SC-EC,1,0.5,0.5893801410105758,0.8017407688545868,1.6107832927137817
0,SC-EC,1,0.5,0.6174720916568743,0.8024937918580356,1.6177347188881464
