library.barcode,Assigned_cluster,Pseudotime_value,Pseudotime_branch,Differentiation,CellDay
stg5diff1_S5d3_b1.bcCNTO,neurog3_late,0.4218190693133745,1,1,3
stg5diff1_S5d3_b1.bcGTAK,neurog3_late,0.4817332896461336,0,1,3
stg5diff1_S5d3_b1.bcHTRR,neurog3_late,0.3323299707126586,1,1,3
stg5diff1_S5d3_b1.bcIBCS,neurog3_late,0.4189875491480996,0,1,3
stg5diff1_S5d3_b1.bcDHWA,neurog3_late,0.3656036446469248,1,1,3
stg5diff1_S5d3_b1.bcGOPJ,neurog3_mid,0.3263433813892529,0,1,3
stg5diff1_S5d3_b1.bcHVMB,neurog3_mid,0.2401703800786369,0,1,3
stg5diff1_S5d3_b1.bcGZLE,neurog3_late,0.3985910878112713,0,1,3
stg5diff1_S5d3_b1.bcEXVM,sc_beta,0.9190184049079756,1,1,3
stg5diff1_S5d3_b1.bcDJYN,neurog3_mid,0.3360091743119266,0,1,3
stg5diff1_S5d3_b1.bcBPOQ,neurog3_early,0.1543250327653997,0,1,3
stg5diff1_S5d3_b1.bcAMDK,neurog3_late,0.337373901724699,1,1,3
stg5diff1_S5d3_b1.bcAZUR,sc_beta,0.6914110429447853,1,1,3
stg5diff1_S5d3_b1.bcENWL,sc_beta,0.569120654396728,1,1,3
stg5diff1_S5d3_b1.bcDQXI,neurog3_late,0.3772372274650179,1,1,3
stg5diff1_S5d3_b1.bcHPGR,neurog3_mid,0.3119266055045872,0,1,3
stg5diff1_S5d3_b1.bcGNEX,neurog3_mid,0.2997884803123983,1,1,3
stg5diff1_S5d4_b1.bcHYVL,sc_ec,0.6742068155111633,0,1,4
stg5diff1_S5d4_b1.bcCYOO,sc_ec,0.466743119266055,0,1,4
stg5diff1_S5d4_b1.bcICBS,sc_ec,0.6687720329024677,0,1,4
stg5diff1_S5d4_b1.bcGHMN,sc_beta,0.8192229038854806,1,1,4
stg5diff1_S5d4_b1.bcFTBI,neurog3_late,0.402375528799219,1,1,4
stg5diff1_S5d4_b1.bcGKXK,neurog3_mid,0.2290920924178327,1,1,4
