var_name_unique,gene_index,gene_name_original,highly_variable,highly_variable_nbatches,means,dispersions,dispersions_norm
KRT18P54,9810,KRT18P54,True,5,0.0022309084024238453,1.7341156425897155,0.5049945
CLGN,9855,CLGN,True,3,0.3400313405371611,2.0454126890202398,0.76864314
INPP4B,9867,INPP4B,True,4,0.019217294112863166,2.0789708120525043,0.79254204
GYPE,9882,GYPE,True,8,0.062239580137624186,2.2030345157362956,0.9787929
GYPB,9884,GYPB,True,9,0.09440675292315798,2.337611642943545,1.2102505
HHIP,9891,HHIP,True,4,0.030698165416487382,2.1065690599702345,0.8305836
AC079228.1,9901,AC079228.1,True,4,0.004644165000973294,1.8627782900977972,0.41872507
AC093908.1,9923,AC093908.1,True,4,0.032564225901905705,2.0294174219935575,0.72601867
ARHGAP10,9928,ARHGAP10,True,5,0.3707071762094626,2.0736677872843314,1.0161811
MAB21L2,9941,MAB21L2,True,14,0.3548109620584342,2.3030438745334254,1.6683009
AC113155.1,9967,AC113155.1,True,5,0.004930138116133985,1.8729338412620977,0.43666232
WDR45P1,9980,WDR45P1,True,4,0.0015536318605047282,1.5611703663091063,-0.06333227
SFRP2,9984,SFRP2,True,7,1.1679667252162143,2.215563158283285,1.0638764
FGB,9990,FGB,True,7,0.021984253172365974,2.0537037037116095,0.87531126
FGA,9991,FGA,True,4,0.0023315761391451825,1.2867121458157715,0.028560022
AC107208.1,10002,AC107208.1,True,4,0.003248257789440389,1.586937637889221,0.094586805
GUCY1A1,10003,GUCY1A1,True,14,0.4439012058934442,2.259466196100052,1.7429597
AC104083.1,10004,AC104083.1,True,3,0.02591792658073654,2.0272319506350116,0.7002504
TDO2,10006,TDO2,True,8,0.006789930857682039,1.918380348857834,0.5477748
GRIA2,10012,GRIA2,True,5,0.006300402412614799,1.722806167118196,0.6149772
AC017037.2,10015,AC017037.2,True,6,0.0029456541056837797,1.7311233113702404,0.24332096
GASK1B,10016,GASK1B,True,4,0.01335401708294271,2.0434724623447296,0.7340555
AC112247.1,10046,AC112247.1,True,4,0.0018231301325369027,1.4673985644596446,-0.20876677
CPE,10067,CPE,True,16,0.5663282116741404,2.2118616641199664,1.696289
SPOCK3,10074,SPOCK3,True,3,0.07813766209267321,2.0452422479641057,0.86025035
PALLD,10077,PALLD,True,18,0.7671013636972963,2.3073841231018206,1.9872844
AC034159.2,10099,AC034159.2,True,4,0.0007556457294127036,1.1239449406649822,0.0585698
HMGB2,10106,HMGB2,True,10,2.1900984430576016,2.5714450356029026,1.2602822
HAND2,10115,HAND2,True,7,0.3045836607226897,2.21790747358808,1.277382
LINC02268,10122,LINC02268,True,3,0.021988677812233175,2.0481453282162208,0.75787985
AC131094.1,10132,AC131094.1,True,5,0.031147537485613507,1.9161009094552461,0.5475373
GPM6A,10134,GPM6A,True,5,1.5529336357903634,2.2963682359777793,0.8231883
AC078881.1,10146,AC078881.1,True,6,0.015059591578106494,2.061540794306994,0.7492445
LINC02362,10190,LINC02362,True,7,0.0017890929069989377,1.66185199646626,0.33007476
LINC02365,10197,LINC02365,True,5,0.003334031489956313,1.793844410279769,0.31806642
SLC25A4,10206,SLC25A4,True,7,0.6897728675730562,2.101614702645138,0.8650316
PDLIM3,10216,PDLIM3,True,13,0.20414538556311632,2.490312815503947,2.363346
SORBS2,10217,SORBS2,True,14,0.34736665236264896,2.424689455320763,2.4766443
AC093797.1,10218,AC093797.1,True,4,0.0016139020690677248,1.5848247777663493,0.12404662
TLR3,10222,TLR3,True,4,0.005643656834308762,1.7988628700023854,0.31765753
C5orf49,10354,C5orf49,True,4,0.007014370631304236,1.8491429631015759,0.39803916
AC092335.1,10413,AC092335.1,True,5,0.0022474215921692675,1.522604232497064,0.2706193
AC094103.1,10441,AC094103.1,True,4,0.002412284425586832,1.6929357271334824,0.14113839
AC010342.1,10457,AC010342.1,True,4,0.002595440596192883,1.5476585162407153,-0.08582492
LINC02228,10459,LINC02228,True,3,0.019485899708483433,2.0898375580352764,0.80551976
PURPL,10471,PURPL,True,3,0.34586039579017497,2.0438783329081054,0.73078567
RAI14,10525,RAI14,True,3,0.8131360234094857,2.107234274634421,0.7385866
AC008957.3,10549,AC008957.3,True,5,0.014015088296733513,1.9918490851605855,0.64611214
RN7SL37P,10558,RN7SL37P,True,4,0.0024623709681400045,1.7151503074507577,0.30218506
EGFLAM-AS4,10570,EGFLAM-AS4,True,5,0.005830093012333977,1.7158986310232869,0.2840426
LIFR,10573,LIFR,True,3,0.21239717994275828,2.06801152439632,0.88654065
DAB2,10582,DAB2,True,17,0.5628179939758294,2.2621824898708636,1.9249206
C7,10594,C7,True,12,0.0361091094017138,2.4014479071085884,1.3160033
SELENOP,10609,SELENOP,True,8,0.523478481337291,2.1824611934795892,1.3864204
HMGCS1,10631,HMGCS1,True,6,0.849343741382415,2.1449578085522,1.047122
FGF10,10646,FGF10,True,8,0.2495973624974968,2.269021259267422,1.4573944
ISL1,10663,ISL1,True,7,0.22219687610313274,2.2566682610580235,1.2893808
ITGA1,10670,ITGA1,True,4,0.1351875942144038,2.1660116448061615,0.93145967
FST,10679,FST,True,4,0.4281873208102218,1.990230924789417,0.5409695
HSPB3,10691,HSPB3,True,5,0.017672652457286046,2.0457290713128673,0.8668777
CCNO,10702,CCNO,True,4,0.003170686430646992,1.4484295967824738,-0.24906695
IL6ST,10715,IL6ST,True,13,0.5879912096878885,2.230437091735954,1.4766518
RPL26P19,10726,RPL26P19,True,5,0.5114330767870321,1.9995790530998068,0.32037815
PLK2,10743,PLK2,True,16,0.4227936279575597,2.4048595856614448,2.3230796
ADAMTS6,10790,ADAMTS6,True,4,0.13013137226410385,2.162590298459516,0.9210331
MAST4-IT1,10814,MAST4-IT1,True,4,0.0008170808223460259,1.1329282631353503,0.07778722
CCNB1,10835,CCNB1,True,4,0.953759538379705,2.113963527357143,0.77035916
NDUFB9P1,10843,NDUFB9P1,True,4,0.002574592649688066,1.8168064468802139,0.3908335
MAP1B,10872,MAP1B,True,4,1.248701459433893,2.1809050866243043,0.753659
ENC1,10907,ENC1,True,3,0.24877885344126457,2.0991895896653032,0.84814715
AC108120.1,10933,AC108120.1,True,4,0.0013977142551737105,1.5000732121936518,-0.050267253
S100Z,10950,S100Z,True,5,0.005429492187947733,1.6805940917347602,0.41702607
CRHBP,10951,CRHBP,True,15,0.07561899560102953,2.6379372743589755,1.7193874
RPS2P24,10961,RPS2P24,True,4,0.006115622290875545,1.7514937526807257,0.23163778
CMYA5,10987,CMYA5,True,16,0.29867448780919004,2.5659082594317635,2.9711726
AC008496.2,10988,AC008496.2,True,4,0.0012550790548895745,1.329370600902008,-0.032768484
AC022493.2,11016,AC022493.2,True,4,0.0013285798104522841,1.4941068478660948,-0.061717797
VCAN,11044,VCAN,True,15,1.5546618942255694,2.4954972639457176,1.7075009
HAPLN1,11046,HAPLN1,True,19,0.8016436436834162,2.889889293055255,5.5618863
MEF2C,11079,MEF2C,True,16,0.329570844735184,2.451925238813622,2.4949086
POLR3G,11089,POLR3G,True,5,0.8365417092942461,2.086159830245819,0.7468142
LUCAT1,11093,LUCAT1,True,5,0.004134093384970762,1.920346667125791,0.53033394
POLD2P1,11109,POLD2P1,True,5,0.003566325662399146,1.8791870413360117,0.48508087
NR2F1,11111,NR2F1,True,11,0.13451076236760096,2.3523872761832036,1.4445451
RPL7P18,11128,RPL7P18,True,4,0.01431672098671003,2.0754066350270244,0.78127766
