gene,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
CSRP2,True,0.5852672091566349,2.034940603047364,1.4679719,2,True
CSTF1,True,0.5012300850523332,1.934915213417931,1.1366483,2,True
CTGF,True,0.22115467718650922,2.135625904072041,2.3885608,2,True
CTH,True,0.11131896175404524,1.9815095420449027,1.0994291,2,True
CTHRC1,True,0.6763546090048714,2.0534581671630794,1.5910994,2,True
CTSF,True,0.47404369544991765,1.900760267878744,0.8934942,2,True
CTSZ,True,0.3333209743205699,1.9703022054279473,1.3797101,2,True
CXCL1,True,0.056803323403069456,2.248800797098366,1.9986935,2,True
CXCL12,True,1.188694555149003,2.260818708029964,1.579087,2,True
CXCR4,True,0.185471065620967,2.0822552407718447,1.4481872,2,True
CXXC4,True,1.5788229047543534,2.177148124506112,1.0355021,2,True
CYP26B1,True,0.04528186246816358,2.025066391400807,1.2326573,2,True
CYP2C8,True,0.08015675030565296,2.0349803571558676,1.2752378,2,True
CYP4X1,True,0.06397396279515374,2.060611579014136,1.3660944,2,True
CYR61,True,0.19954854879011322,2.2778116707834926,2.1014824,2,True
CYYR1,True,0.326472998782003,1.972427365856925,1.3823998,2,True
DAB2,True,0.2519262988772806,2.1909351803979433,1.8048728,2,True
DACT1,True,0.1423105702138398,2.0261769183864233,1.2571099,2,True
DBNDD2,True,0.2779813238786991,2.0104947093593424,1.341903,2,True
DCC,True,1.2189640075382806,2.2363622455358283,1.488814,2,True
DCDC1,True,0.370789152299539,1.9254530480551406,1.0595706,2,True
DDC,True,2.5253773418360694,2.841405119316489,1.3703196,2,True
DDIT4L,True,0.014680218928029991,2.120578220867765,1.572962,2,True
DDR2,True,0.13335601272411463,2.1918523103582164,1.8121529,2,True
DET1,True,0.22689915744808614,1.9862547746615071,1.1081878,2,True
DHRS2,True,0.4045781980048836,1.896445796702466,0.862987,2,True
DIO3,True,0.3581589666486752,2.0812023516972866,2.13689,2,True
DIRAS3,True,0.26712752503348713,2.0883810929022033,1.8850147,2,True
DKK1,True,0.019428407299656003,2.480349420699719,2.7825527,2,True
DLGAP5,True,0.07476274967854199,2.009991026040272,1.1879835,2,True
DLL1,True,1.0100586714073663,2.648665492156891,3.8644373,2,True
DLL3,True,0.5144784440937004,2.249909108671348,3.313899,2,True
DNAJB4,True,0.20169905249978085,1.9566763049037483,1.0096737,2,True
DNAJB9,True,0.9971054591655932,2.0259293699071286,0.8824749,2,True
DNAJC12,True,1.2874598624268825,2.3147891144675548,1.8272849,2,True
DNAJC9,True,0.6933605051418346,2.1509431768735556,2.2319698,2,True
DNAL4,True,0.5740980546501921,1.985428018038188,1.1520156,2,True
DOC2B,True,0.05413159574604287,1.9609848922374864,1.0195438,2,True
DOCK3,True,0.08008564403126209,2.2021349467540703,1.8480345,2,True
DPPA4,True,0.02513687715834581,2.104103757648897,1.5033492,2,True
DPYD,True,0.08065422818691956,2.305873397986905,2.2214615,2,True
DPYSL3,True,0.7991317566465307,2.12219210514418,1.6061921,2,True
DRD2,True,0.06579706775850859,2.054420574879996,1.3337442,2,True
DSEL,True,0.313511908064275,2.1300393823347785,2.5002544,2,True
DTX3,True,0.8252526434110512,2.0573731039823726,1.285785,2,True
DUOXA1,True,0.003411056654101094,2.2834676795725395,2.1512613,2,True
DUSP27,True,0.0032247204449561816,2.324775959395323,2.2900355,2,True
DUSP4,True,1.15893137480615,2.2054633893613715,1.3325819,2,True
DUSP5,True,1.035441017628984,2.1617961876514333,1.5420461,2,True
DUSP6,True,0.5246786689007619,2.142606964050141,2.3594093,2,True
DYNC1I1,True,0.26790944253240756,2.1179706292120004,2.1025493,2,True
E2F7,True,0.16618411845032582,2.400072104384181,2.5099878,2,True
EBF1,True,0.15629615888680531,2.1315153555362176,1.6010482,2,True
EEF1A1,True,4.517411823109583,3.3496443633140514,1.0,2,True
