PC,rank,gene,loading,absolute_loading
3,8,TMSB4X,0.14150875806808472,0.14150875806808472
3,9,BTG1,-0.13851571083068848,0.13851571083068848
3,10,PLXNA2,-0.13848374783992767,0.13848374783992767
3,11,CRYBA2,0.13482671976089478,0.13482671976089478
3,12,ACVR1C,-0.13404780626296997,0.13404780626296997
3,13,SURF4,-0.13006924092769623,0.13006924092769623
3,14,SCG5,-0.12919510900974274,0.12919510900974274
3,15,SLC30A8,-0.12742148339748383,0.12742148339748383
3,16,TPH1,0.12536007165908813,0.12536007165908813
3,17,ALDH1A1,-0.1125035434961319,0.1125035434961319
3,18,CD99,-0.1046193465590477,0.1046193465590477
3,19,CXCL12,-0.1032601073384285,0.1032601073384285
3,20,HEPACAM2,-0.10321515053510666,0.10321515053510666
4,1,VCAN,0.13186600804328918,0.13186600804328918
4,2,POU2F2,0.13087278604507446,0.13087278604507446
4,3,TMSB4X,0.12919864058494568,0.12919864058494568
4,4,FN1,0.12320718914270401,0.12320718914270401
4,5,DLK1,0.11821094900369644,0.11821094900369644
4,6,TUBA1B,0.11717627197504044,0.11717627197504044
4,7,IGDCC3,0.1128496527671814,0.1128496527671814
4,8,C9orf16,0.1114080473780632,0.1114080473780632
4,9,KRT19,0.10858170688152313,0.10858170688152313
4,10,IDH1,0.10834502428770065,0.10834502428770065
4,11,CLDN6,0.10726034641265869,0.10726034641265869
4,12,LAPTM4B,0.10588088631629944,0.10588088631629944
4,13,PAM,0.10436804592609406,0.10436804592609406
4,14,INS,-0.10331917554140091,0.10331917554140091
4,15,TSPAN13,0.10098898410797119,0.10098898410797119
4,16,XBP1,0.10090836137533188,0.10090836137533188
4,17,MIAT,0.09966226667165756,0.09966226667165756
4,18,CXXC4,0.09929613769054413,0.09929613769054413
4,19,FABP7,0.09846828132867813,0.09846828132867813
4,20,CD99,0.09759043157100677,0.09759043157100677
5,1,TPH1,0.201929971575737,0.201929971575737
5,2,CALB2,-0.17662201821804047,0.17662201821804047
5,3,POU2F2,-0.17180144786834717,0.17180144786834717
5,4,DUSP4,0.1597346067428589,0.1597346067428589
5,5,ADRA2A,0.15516217052936554,0.15516217052936554
5,6,COL5A2,0.14009630680084229,0.14009630680084229
5,7,VEGFA,0.13288912177085876,0.13288912177085876
5,8,DLK1,-0.13275040686130524,0.13275040686130524
5,9,B3GAT1,0.13045372068881989,0.13045372068881989
5,10,DNAJC12,0.1231621727347374,0.1231621727347374
5,11,AMBP,0.12252765148878098,0.12252765148878098
5,12,CBLN1,0.12039411813020706,0.12039411813020706
